PET,TEXT,text_name,condition,domain,Sent_id,keystrokes,time,num_major,num_minor,num_characters,highlight_ratio,prc_sugg_accepted,tags_edited,How difficult to translate was the source text?,How good was the quality of MT?,How useful were the error annotations? ,How accurate were the error annotations? ,How useful were the translation suggestions? ,How accurate were the translation suggestions? 
5,Text 6,doc20,3,medical,4,0,20.11,0,0,143,0.0,N/A,,Somewhat easy,Very good,Somewhat useful,Somewhat accurate,nan,nan
5,Text 6,doc20,3,medical,5,33,25.994,0,0,132,0.0,N/A,,Somewhat easy,Very good,Somewhat useful,Somewhat accurate,nan,nan
5,Text 6,doc20,3,medical,6,21,25.957,0,2,111,0.0811,N/A,'sleutel',Somewhat easy,Very good,Somewhat useful,Somewhat accurate,nan,nan
5,Text 6,doc20,3,medical,7,0,12.877,0,4,95,0.3158,N/A,,Somewhat easy,Very good,Somewhat useful,Somewhat accurate,nan,nan
5,Text 6,doc20,3,medical,8,34,42.98,0,0,60,0.0,N/A,,Somewhat easy,Very good,Somewhat useful,Somewhat accurate,nan,nan
5,Text 6,doc20,3,medical,9,38,148.099,0,7,212,0.4292,N/A,"'Als'; 'EMPoCUS-vaardigheden onder de knie zijn,'",Somewhat easy,Very good,Somewhat useful,Somewhat accurate,nan,nan
5,Text 6,doc20,3,medical,10,0,28.731,0,0,293,0.0,N/A,,Somewhat easy,Very good,Somewhat useful,Somewhat accurate,nan,nan
5,Text 7,news_seattle_times.800119,4,news,1,3,17.596,0,0,51,0.0,N/A,,Neutral,Good,Somewhat useful,Somewhat accurate,Somewhat useful,Not accurate nor inaccurate
5,Text 7,news_seattle_times.800119,4,news,2,1,6.339,1,0,104,0.0288,100.0,'een',Neutral,Good,Somewhat useful,Somewhat accurate,Somewhat useful,Not accurate nor inaccurate
5,Text 7,news_seattle_times.800119,4,news,3,20,82.374,0,5,300,0.13,0.0,'geparkeerd',Neutral,Good,Somewhat useful,Somewhat accurate,Somewhat useful,Not accurate nor inaccurate
5,Text 7,news_seattle_times.800119,4,news,4,1,26.341,1,0,86,0.0581,100.0,' niet',Neutral,Good,Somewhat useful,Somewhat accurate,Somewhat useful,Not accurate nor inaccurate
5,Text 7,news_seattle_times.800119,4,news,5,19,46.218,0,6,190,0.2526,0.0,'uitgebreid',Neutral,Good,Somewhat useful,Somewhat accurate,Somewhat useful,Not accurate nor inaccurate
5,Text 7,news_seattle_times.800119,4,news,6,6,36.242999999999995,0,1,193,0.0725,0.0,'schadegevallen',Neutral,Good,Somewhat useful,Somewhat accurate,Somewhat useful,Not accurate nor inaccurate
5,Text 7,news_seattle_times.800119,4,news,7,11,52.745,0,2,76,0.1842,50.0,"'MAX lijn,'; 'ratio'",Neutral,Good,Somewhat useful,Somewhat accurate,Somewhat useful,Not accurate nor inaccurate
5,Text 7,news_seattle_times.800119,4,news,8,24,78.922,0,1,265,0.0868,0.0,'medewerker van de media',Neutral,Good,Somewhat useful,Somewhat accurate,Somewhat useful,Not accurate nor inaccurate
5,Text 8,doc34,4,medical,1,5,67.196,1,0,122,0.041,100.0,'geen ',Neutral,Good,Somewhat useful,Somewhat accurate,Somewhat useful,Not accurate nor inaccurate
5,Text 8,doc34,4,medical,2,19,59.69,0,2,194,0.1134,0.0,'maagsonde',Neutral,Good,Somewhat useful,Somewhat accurate,Somewhat useful,Not accurate nor inaccurate
5,Text 8,doc34,4,medical,3,0,8.487,0,0,49,0.0,N/A,,Neutral,Good,Somewhat useful,Somewhat accurate,Somewhat useful,Not accurate nor inaccurate
5,Text 8,doc34,4,medical,4,41,156.64899999999997,0,7,304,0.2467,28.57,'baby’s'; 'gestational age'; 'werden in'; 'studie opgenomen.',Neutral,Good,Somewhat useful,Somewhat accurate,Somewhat useful,Not accurate nor inaccurate
5,Text 8,doc34,4,medical,5,4,10.119,0,1,139,0.1007,0.0,,Neutral,Good,Somewhat useful,Somewhat accurate,Somewhat useful,Not accurate nor inaccurate
5,Text 8,doc34,4,medical,6,19,24.15,0,2,116,0.069,0.0,'drinken.',Neutral,Good,Somewhat useful,Somewhat accurate,Somewhat useful,Not accurate nor inaccurate
